id,sira,ders,sinif,unite,konu,baslik,kazanim_kodu,kazanim,aciklama,yorum,etiketler
turk_dili_ve_edebiyati-ort-B_9,67,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,B.9,Görsel ve işitsel unsurları doğru ve etkili kullanır.,"Metnin türüne göre resim, fotoğraf, grafik, çizim, veri tabloları, ses ve görüntü kayıtları vb. unsurları, metni tamamlayıcı ve/veya destekleyici unsurlar olarak kullanır.","Kazanımın odağı, öğrencinin görsel ve işitsel unsurları doğru ve etkili kullanır. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",görsel; işitsel; unsurları; doğru; etkili
turk_dili_ve_edebiyati-ort-B_10,68,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,B.10,Yazdığı metni gözden geçirir.,"a. Dil bilgisi, yazım ve noktalama bakımından gözden geçirmesi sağlanır. b. Açıklık, duruluk, akıcılık, yalınlık ve kelime tercihleri bakımından gözden geçirmesi sağlanır. c. Birimler, paragraflar, bölümler, olay örgüsü/kurgu ve başlık gibi yapı ve şekil unsurları arasındaki anlam bağlantıları, tutarlılık, denge ve akış bakımından gözden geçirmesi sağlanır. ç. Metnin içeriğini ve üslubunu/anlatımını tür özellikleri bakımından gözden geçirmesi sağlanır. d. Yazısının okunaklılığını ve sayfa düzenini gözden geçirmesi sağlanır.","Kazanımın odağı, öğrencinin yazdığı metni gözden geçirir. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",yazdığı; metni; gözden; geçirir
turk_dili_ve_edebiyati-ort-B_11,69,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,B.11,Ürettiği ve paylaştığı metinlerin sorumluluğunu üstlenir.,"Üretilen ve paylaşılan metinlerin hukuki, ahlaki ve mesleki sorumluluğunun bilincinde hareket edilmesi gerektiği vurgulanır.","Kazanımın odağı, öğrencinin ürettiği ve paylaştığı metinlerin sorumluluğunu üstlenir. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",ürettiği; paylaştığı; metinlerin; sorumluluğunu; üstlenir
turk_dili_ve_edebiyati-ort-B_12,70,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,B.12,Yazdığı metni başkalarıyla paylaşır.,"a. Yüksek sesle okuma, panoda sergileme; elektronik ortamlarda, kitap, dergi ve gazetelerde yayımlama, yarışmalara katılma gibi yollarla yazılan metinlerin paylaşılması sağlanır. b. Eleştirilere açık olma, gerekirse metin çerçevesinde eleştirilerin cevaplanması sağlanır.","Kazanımın odağı, öğrencinin yazdığı metni başkalarıyla paylaşır. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",yazdığı; metni; başkalarıyla; paylaşır
turk_dili_ve_edebiyati-ort-C_1_1,71,TÜRK DİLİ VE EDEBİYATI,,,,1. KONUŞMA,C.1.1,İletişim sürecini oluşturan ögeleri ve iletişimde dilin önemini belirler.,"a. Bu kazanım sadece 9.sınıfta işlenecektir. b. İletişimin tanımı ve ögeleri (gönderici, alıcı, ileti, kanal, geri bildirim, kod, bağlam) örneklerle açıklanır.","Kazanımın odağı, öğrencinin i̇letişim sürecini oluşturan ögeleri ve iletişimde dilin önemini belirler. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",i̇letişim; sürecini; oluşturan; ögeleri; iletişimde; dilin; önemini
turk_dili_ve_edebiyati-ort-C_1_2,72,TÜRK DİLİ VE EDEBİYATI,,,,1. KONUŞMA,C.1.2,"Konuşmanın konusunu, amacını, hedef kitlesini ve türünü belirler.",,"Kazanımın odağı, öğrencinin konuşmanın konusunu, amacını, hedef kitlesini ve türünü belirler. hedefidir.",konuşmanın; konusunu; amacını; hedef; kitlesini; türünü
turk_dili_ve_edebiyati-ort-C_1_3,73,TÜRK DİLİ VE EDEBİYATI,,,,1. KONUŞMA,C.1.3,"Konuyla ilgili gözlem, inceleme veya araştırma yapar.",,"Kazanımın odağı, öğrencinin konuyla ilgili gözlem, inceleme veya araştırma yapar. hedefidir.",konuyla; gözlem; inceleme; veya; araştırma
turk_dili_ve_edebiyati-ort-C_1_4,74,TÜRK DİLİ VE EDEBİYATI,,,,1. KONUŞMA,C.1.4,Konuşma metnini planlar.,,"Kazanımın odağı, öğrencinin konuşma metnini planlar. hedefidir.",konuşma; metnini; planlar
turk_dili_ve_edebiyati-ort-C_1_5,75,TÜRK DİLİ VE EDEBİYATI,,,,1. KONUŞMA,C.1.5,Konuşma planına uygun olarak konuşma kartları hazırlar.,,"Kazanımın odağı, öğrencinin konuşma planına uygun olarak konuşma kartları hazırlar. hedefidir.",konuşma; planına; uygun; kartları; hazırlar
turk_dili_ve_edebiyati-ort-C_1_6,76,TÜRK DİLİ VE EDEBİYATI,,,,1. KONUŞMA,C.1.6,Konuşmasında yararlanacağı görsel ve işitsel araçları hazırlar.,,"Kazanımın odağı, öğrencinin konuşmasında yararlanacağı görsel ve işitsel araçları hazırlar. hedefidir.",konuşmasında; yararlanacağı; görsel; işitsel; araçları; hazırlar
